Número;Data;Mandante;Visitantes;Gols Mandante;Gol Visitante;Gols Penalti Mandante;Gols Penalti Visitante;Resultado;Campeonato;Estádio;Gols Grêmio;Gols Inter;Campo
167;29/09/1963;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Eucaliptos;1;0;Eucaliptos
168;14/12/1963;Grêmio;Inter;1;0;;;Grêmio;Gauchão;Olímpico;1;0;Olímpico
169;19/04/1964;Inter;Grêmio;1;0;;;Inter;Amistoso;Santa Cruz;0;1;Outros
170;23/04/1964;Grêmio;Inter;3;0;;;Grêmio;Amistoso;Olímpico;3;0;Olímpico
171;26/07/1964;Inter;Grêmio;0;0;;;Empate;Gauchão;Eucaliptos;0;0;Eucaliptos
172;20/08/1964;Grêmio;Inter;0;2;;;Inter;Amistoso;Olímpico;0;2;Olímpico
173;01/11/1964;Grêmio;Inter;3;0;;;Grêmio;Gauchão;Olímpico;3;0;Olímpico
174;21/11/1964;Inter;Grêmio;1;0;;;Inter;Amistoso;Eucaliptos;0;1;Eucaliptos
175;10/12/1964;Grêmio;Inter;1;2;;;Inter;Amistoso;Olímpico;1;2;Olímpico
176;21/03/1965;Grêmio;Inter;0;0;;;Empate;Amistoso;Baixada Rubra;0;0;Outros
177;29/08/1965;Grêmio;Inter;2;1;;;Grêmio;Gauchão;Olímpico;2;1;Olímpico
178;12/12/1965;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Eucaliptos;1;0;Eucaliptos
179;02/10/1966;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Eucaliptos;1;0;Eucaliptos
180;17/02/1966;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
181;05/03/1967;Grêmio;Inter;0;2;;;Inter;Roberto Gomes Pedrosa;Olímpico;0;2;Olímpico
182;24/05/1967;Grêmio;Inter;1;1;;;Empate;Roberto Gomes Pedrosa;Olímpico;1;1;Olímpico
183;04/06/1967;Grêmio;Inter;0;0;;;Empate;Roberto Gomes Pedrosa;Olímpico;0;0;Olímpico
184;16/09/1967;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
185;17/12/1967;Inter;Grêmio;1;0;;;Inter;Gauchão;Eucaliptos;0;1;Eucaliptos
186;12/05/1968;Inter;Grêmio;1;1;;;Empate;Gauchão;Eucaliptos;1;1;Eucaliptos
187;02/06/1968;Grêmio;Inter;4;0;;;Grêmio;Gauchão;Olímpico;4;0;Olímpico
188;24/11/1968;Grêmio;Inter;0;0;;;Empate;Roberto Gomes Pedrosa;Olímpico;0;0;Olímpico
189;20/04/1969;Inter;Grêmio;0;0;;;Empate;Amistoso;Beira-Rio;0;0;Beira-Rio
190;22/06/1969;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
191;21/09/1969;Inter;Grêmio;1;0;;;Inter;Roberto Gomes Pedrosa;Beira-Rio;0;1;Beira-Rio
192;21/12/1969;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
193;09/05/1970;Grêmio;Inter;0;0;;;Empate;Amistoso;Olímpico;0;0;Olímpico
194;09/08/1970;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
195;20/09/1970;Grêmio;Inter;1;2;;;Inter;Gauchão;Olímpico;1;2;Olímpico
196;28/10/1970;Grêmio;Inter;0;0;;;Empate;Roberto Gomes Pedrosa;Olímpico;0;0;Olímpico
197;24/03/1971;Inter;Grêmio;0;2;;;Grêmio;Amistoso;Beira-Rio;2;0;Beira-Rio
198;30/05/1971;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
199;27/06/1971;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
200;04/08/1971;Inter;Grêmio;1;3;;;Grêmio;Gauchão;Beira-Rio;3;1;Beira-Rio
201;17/10/1971;Inter;Grêmio;1;0;;;Inter;Campeonato Brasileiro;Beira-Rio;0;1;Beira-Rio
202;02/03/1972;Inter;Grêmio;1;1;;;Empate;Amistoso;Beira-Rio;1;1;Beira-Rio
203;05/03/1972;Grêmio;Inter;1;1;;;Empate;Amistoso;Olímpico;1;1;Olímpico
204;26/03/1972;Inter;Grêmio;0;0;;;Empate;Amistoso;Beira-Rio;0;0;Beira-Rio
205;21/05/1972;Inter;Grêmio;2;2;;;Empate;Gauchão;Beira-Rio;2;2;Beira-Rio
206;06/08/1972;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
207;20/08/1972;Grêmio;Inter;0;1;;;Inter;Citadino Porto Alegre;Olímpico;0;1;Olímpico
208;30/08/1972;Inter;Grêmio;2;0;;;Inter;Citadino Porto Alegre;Beira-Rio;0;2;Beira-Rio
209;20/09/1972;Inter;Grêmio;1;0;;;Inter;Campeonato Brasileiro;Beira-Rio;0;1;Beira-Rio
210;20/05/1973;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
211;05/08/1973;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
212;11/11/1973;Inter;Grêmio;1;1;;;Empate;Campeonato Brasileiro;Beira-Rio;1;1;Beira-Rio
213;24/03/1974;Inter;Grêmio;2;1;;;Inter;Campeonato Brasileiro;Beira-Rio;1;2;Beira-Rio
214;29/09/1974;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
215;01/12/1974;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
216;01/05/1975;Inter;Grêmio;2;0;;;Inter;Amistoso;Beira-Rio;0;2;Beira-Rio
217;13/07/1975;Grêmio;Inter;1;2;;;Inter;Gauchão;Olímpico;1;2;Olímpico
218;23/07/1975;Inter;Grêmio;1;3;;;Grêmio;Gauchão;Beira-Rio;3;1;Beira-Rio
219;06/08/1975;Grêmio;Inter;1;1;;;Empate;Gauchão;Olímpico;1;1;Olímpico
220;10/08/1975;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
221;07/09/1975;Inter;Grêmio;1;1;;;Empate;Campeonato Brasileiro;Beira-Rio;1;1;Beira-Rio
222;23/11/1975;Inter;Grêmio;1;0;;;Inter;Campeonato Brasileiro;Beira-Rio;0;1;Beira-Rio
223;25/07/1976;Inter;Grêmio;2;0;;;Inter;Gauchão;Beira-Rio;0;2;Beira-Rio
224;28/07/1976;Grêmio;Inter;2;0;;;Grêmio;Gauchão;Olímpico;2;0;Olímpico
225;09/08/1976;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
226;18/08/1976;Grêmio;Inter;1;1;;;Empate;Gauchão;Olímpico;1;1;Olímpico
227;22/08/1976;Inter;Grêmio;2;0;;;Inter;Gauchão;Beira-Rio;0;2;Beira-Rio
228;07/09/1976;Inter;Grêmio;3;1;;;Inter;Campeonato Brasileiro;Beira-Rio;1;3;Beira-Rio
229;17/04/1977;Grêmio;Inter;3;0;;;Grêmio;Gauchão;Olímpico;3;0;Olímpico
230;08/05/1977;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
231;29/05/1977;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
232;03/06/1977;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
233;14/08/1977;Grêmio;Inter;2;1;;;Grêmio;Gauchão;Olímpico;2;1;Olímpico
234;18/09/1977;Inter;Grêmio;0;2;;;Grêmio;Gauchão;Beira-Rio;2;0;Beira-Rio
235;25/09/1977;Grêmio;Inter;1;0;;;Grêmio;Gauchão;Olímpico;1;0;Olímpico
236;06/11/1977;Inter;Grêmio;0;4;;;Grêmio;Campeonato Brasileiro;Beira-Rio;4;0;Beira-Rio
237;23/04/1978;Inter;Grêmio;2;3;;;Grêmio;Campeonato Brasileiro;Beira-Rio;3;2;Beira-Rio
238;20/08/1978;Grêmio;Inter;2;1;;;Grêmio;Gauchão;Olímpico;2;1;Olímpico
239;07/09/1978;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
240;10/09/1978;Grêmio;Inter;2;2;;;Empate;Gauchão;Olímpico;2;2;Olímpico
241;15/09/1978;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
242;05/11/1978;Grêmio;Inter;1;1;;;Empate;Gauchão;Olímpico;1;1;Olímpico
243;08/11/1978;Inter;Grêmio;2;1;;;Inter;Gauchão;Beira-Rio;1;2;Beira-Rio
244;26/11/1978;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
245;13/12/1978;Inter;Grêmio;2;2;;;Empate;Gauchão;Beira-Rio;2;2;Beira-Rio
246;17/12/1978;Grêmio;Inter;1;2;;;Inter;Gauchão;Olímpico;1;2;Olímpico
247;13/05/1979;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
248;22/07/1979;Grêmio;Inter;1;1;;;Empate;Gauchão;Olímpico;1;1;Olímpico
249;26/08/1979;Inter;Grêmio;1;2;;;Grêmio;Gauchão;Beira-Rio;2;1;Beira-Rio
250;20/09/1979;Grêmio;Inter;1;1;;;Empate;Gauchão;Olímpico;1;1;Olímpico
251;06/10/1979;Inter;Grêmio;1;0;;;Inter;Campeonato Brasileiro;Beira-Rio;0;1;Beira-Rio
252;24/08/1980;Grêmio;Inter;2;2;;;Empate;Gauchão;Olímpico;2;2;Olímpico
253;19/10/1980;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
254;05/11/1980;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
255;23/11/1980;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
256;26/07/1981;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
257;07/10/1981;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
258;04/11/1981;Inter;Grêmio;2;1;;;Inter;Gauchão;Beira-Rio;1;2;Beira-Rio
259;29/11/1981;Grêmio;Inter;1;1;;;Empate;Gauchão;Olímpico;1;1;Olímpico
260;03/08/1982;Inter;Grêmio;0;2;;;Grêmio;Gauchão;Beira-Rio;2;0;Beira-Rio
261;10/10/1982;Grêmio;Inter;2;2;;;Empate;Gauchão;Olímpico;2;2;Olímpico
262;07/11/1982;Inter;Grêmio;3;1;;;Inter;Gauchão;Beira-Rio;1;3;Beira-Rio
263;28/11/1982;Grêmio;Inter;0;2;;;Inter;Gauchão;Olímpico;0;2;Olímpico
264;30/07/1983;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
265;02/10/1983;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
266;02/11/1983;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
267;27/11/1983;Inter;Grêmio;2;2;;;Empate;Gauchão;Beira-Rio;2;2;Beira-Rio
268;26/01/1984;Grêmio;Inter;4;2;;;Grêmio;Amistoso;Olímpico;4;2;Olímpico
269;23/09/1984;Grêmio;Inter;0;2;;;Inter;Gauchão;Olímpico;0;2;Olímpico
270;08/11/1984;Inter;Grêmio;2;1;;;Inter;Gauchão;Beira-Rio;1;2;Beira-Rio
271;25/11/1984;Inter;Grêmio;2;0;;;Inter;Gauchão;Beira-Rio;0;2;Beira-Rio
272;13/12/1984;Grêmio;Inter;1;1;;;Empate;Gauchão;Olímpico;1;1;Olímpico
273;10/02/1985;Grêmio;Inter;2;0;;;Grêmio;Campeonato Brasileiro;Olímpico;2;0;Olímpico
274;24/03/1985;Inter;Grêmio;0;1;;;Grêmio;Campeonato Brasileiro;Beira-Rio;1;0;Beira-Rio
275;20/10/1985;Inter;Grêmio;2;0;;;Inter;Gauchão;Beira-Rio;0;2;Beira-Rio
276;08/12/1985;Grêmio;Inter;2;1;;;Grêmio;Gauchão;Olímpico;2;1;Olímpico
277;23/03/1986;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Beira-Rio;1;0;Beira-Rio
278;11/05/1986;Grêmio;Inter;1;3;;;Inter;Gauchão;Olímpico;1;3;Olímpico
279;09/07/1986;Inter;Grêmio;2;2;;;Empate;Gauchão;Beira-Rio;2;2;Beira-Rio
280;20/07/1986;Grêmio;Inter;1;0;;;Grêmio;Gauchão;Olímpico;1;0;Olímpico
281;18/03/1987;Inter;Grêmio;2;2;;;Empate;Gauchão;Beira-Rio;2;2;Beira-Rio
282;29/03/1987;Grêmio;Inter;2;1;;;Grêmio;Gauchão;Olímpico;2;1;Olímpico
283;05/04/1987;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Beira-Rio;1;0;Beira-Rio
284;10/05/1987;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
285;31/05/1987;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
286;14/06/1987;Grêmio;Inter;3;0;;;Grêmio;Gauchão;Olímpico;3;0;Olímpico
287;16/06/1987;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
288;28/06/1987;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
289;19/07/1987;Grêmio;Inter;3;2;;;Grêmio;Gauchão;Olímpico;3;2;Olímpico
290;12/10/1987;Inter;Grêmio;0;1;;;Grêmio;Campeonato Brasileiro;Beira-Rio;1;0;Beira-Rio
291;12/03/1988;Grêmio;Inter;1;0;;;Grêmio;Gauchão;Olímpico;1;0;Olímpico
292;28/04/1988;Grêmio;Inter;3;1;;;Grêmio;Gauchão;Olímpico;3;1;Olímpico
293;22/05/1988;Inter;Grêmio;0;0;;;Empate;Gauchão;;0;0;Outros
294;19/06/1988;Grêmio;Inter;3;3;;;Empate;Gauchão;Olímpico;3;3;Olímpico
295;04/09/1988;Grêmio;Inter;1;0;;;Grêmio;Campeonato Brasileiro;Olímpico;1;0;Olímpico
296;09/02/1989;Grêmio;Inter;0;0;;;Empate;Campeonato Brasileiro;Olímpico;0;0;Olímpico
297;12/02/1989;Inter;Grêmio;2;1;;;Inter;Campeonato Brasileiro;Beira-Rio;1;2;Beira-Rio
298;19/03/1989;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
299;28/05/1989;Inter;Grêmio;1;3;;;Grêmio;Gauchão;Beira-Rio;3;1;Beira-Rio
300;18/06/1989;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
301;29/11/1989;Inter;Grêmio;2;0;;;Inter;Campeonato Brasileiro;Beira-Rio;0;2;Beira-Rio
302;22/03/1990;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
303;03/06/1990;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
304;15/07/1990;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Beira-Rio;1;0;Beira-Rio
305;29/07/1990;Grêmio;Inter;4;1;;;Grêmio;Gauchão;Olímpico;4;1;Olímpico
306;26/08/1990;Inter;Grêmio;0;1;;;Grêmio;Campeonato Brasileiro;Beira-Rio;1;0;Beira-Rio
307;16/02/1991;Grêmio;Inter;0;0;;;Empate;Campeonato Brasileiro;Olímpico;0;0;Olímpico
308;22/09/1991;Grêmio;Inter;2;1;;;Grêmio;Gauchão;Olímpico;2;1;Olímpico
309;01/12/1991;Grêmio;Inter;0;1;;;Inter;Gauchão;Olímpico;0;1;Olímpico
310;08/12/1991;Inter;Grêmio;0;2;;;Grêmio;Gauchão;Beira-Rio;2;0;Beira-Rio
311;15/12/1991;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
312;14/06/1992;Grêmio;Inter;2;0;;;Grêmio;Amistoso;Olímpico;2;0;Olímpico
313;18/06/1992;Inter;Grêmio;0;0;;;Empate;Amistoso;;0;0;Outros
314;21/06/1992;Grêmio;Inter;0;0;;;Empate;Amistoso;Colosso da Lagoa;0;0;Outros
315;13/09/1992;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
316;06/11/1992;Grêmio;Inter;1;1;;;Empate;Copa do Brasil;Olímpico;1;1;Olímpico
317;17/11/1992;Inter;Grêmio;1;1;;;Empate;Copa do Brasil;Beira-Rio;1;1;Beira-Rio
318;20/12/1992;Grêmio;Inter;1;3;;;Inter;Gauchão;Olímpico;1;3;Olímpico
319;23/12/1992;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
320;27/06/1993;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Beira-Rio;1;0;Beira-Rio
321;18/07/1993;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
322;12/06/1994;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
323;16/10/1994;Grêmio;Inter;1;1;;;Empate;Campeonato Brasileiro;Olímpico;1;1;Olímpico
324;17/12/1994;Grêmio;Inter;1;4;;;Inter;Gauchão;Olímpico;1;4;Olímpico
325;02/04/1995;Inter;Grêmio;2;1;;;Inter;Gauchão;Beira-Rio;1;2;Beira-Rio
326;28/06/1995;Grêmio;Inter;2;0;;;Grêmio;Gauchão;Olímpico;2;0;Olímpico
327;06/08/1995;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
328;13/08/1995;Grêmio;Inter;2;1;;;Grêmio;Gauchão;Olímpico;2;1;Olímpico
329;31/10/1995;Inter;Grêmio;0;1;;;Grêmio;Campeonato Brasileiro;Beira-Rio;1;0;Beira-Rio
330;17/03/1996;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
331;22/09/1996;Inter;Grêmio;1;2;;;Grêmio;Campeonato Brasileiro;Beira-Rio;2;1;Beira-Rio
332;23/03/1997;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
333;29/06/1997;Grêmio;Inter;1;1;;;Empate;Gauchão;Olímpico;1;1;Olímpico
334;02/07/1997;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
335;24/08/1997;Grêmio;Inter;2;5;;;Inter;Campeonato Brasileiro;Olímpico;2;5;Olímpico
336;26/07/1998;Inter;Grêmio;1;0;;;Inter;Campeonato Brasileiro;Beira-Rio;0;1;Beira-Rio
337;17/03/1999;Grêmio;Inter;1;1;;;Empate;Copa Sul;Olímpico;1;1;Olímpico
338;28/03/1999;Inter;Grêmio;2;0;;;Inter;Copa Sul;Beira-Rio;0;2;Beira-Rio
339;13/06/1999;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
340;16/06/1999;Grêmio;Inter;2;0;;;Grêmio;Gauchão;Olímpico;2;0;Olímpico
341;20/06/1999;Grêmio;Inter;1;0;;;Grêmio;Gauchão;Olímpico;1;0;Olímpico
342;12/09/1999;Grêmio;Inter;1;0;;;Grêmio;Campeonato Brasileiro;Olímpico;1;0;Olímpico
343;20/11/1999;Grêmio;Inter;1;1;;;Empate;Seletiva Libertadores;Olímpico;1;1;Olímpico
344;25/11/1999;Inter;Grêmio;1;1;;;Empate;Seletiva Libertadores;Beira-Rio;1;1;Beira-Rio
345;30/04/2000;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
346;07/06/2000;Grêmio;Inter;1;0;;;Grêmio;Gauchão;Olímpico;1;0;Olímpico
347;07/10/2000;Inter;Grêmio;1;2;;;Grêmio;Campeonato Brasileiro;Beira-Rio;2;1;Beira-Rio
348;01/04/2001;Grêmio;Inter;4;2;;;Grêmio;Gauchão;Olímpico;4;2;Olímpico
349;13/05/2001;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
350;06/10/2001;Grêmio;Inter;1;0;;;Grêmio;Campeonato Brasileiro;Olímpico;1;0;Olímpico
351;20/03/2002;Inter;Grêmio;1;1;;;Empate;Copa Sul-Minas;Beira-Rio;1;1;Beira-Rio
352;26/10/2002;Inter;Grêmio;0;1;;;Grêmio;Campeonato Brasileiro;Beira-Rio;1;0;Beira-Rio
353;09/02/2003;Grêmio;Inter;1;2;;;Inter;Gauchão;Olímpico;1;2;Olímpico
354;09/03/2003;Inter;Grêmio;1;0;;;Inter;Gauchão;Beira-Rio;0;1;Beira-Rio
355;15/06/2003;Grêmio;Inter;0;0;;;Empate;Campeonato Brasileiro;Olímpico;0;0;Olímpico
356;12/10/2003;Inter;Grêmio;0;1;;;Grêmio;Campeonato Brasileiro;Beira-Rio;1;0;Beira-Rio
357;15/02/2004;Inter;Grêmio;1;1;;;Empate;Gauchão;Beira-Rio;1;1;Beira-Rio
358;07/03/2004;Grêmio;Inter;1;2;;;Inter;Gauchão;Olímpico;1;2;Olímpico
359;04/04/2004;Grêmio;Inter;1;2;;;Inter;Gauchão;Montanha dos Vinhedos;1;2;Outros
