Número;Data;Mandante;Visitantes;Gols Mandante;Gol Visitante;Gols Penalti Mandante;Gols Penalti Visitante;Resultado;Campeonato;Estádio;Gols Grêmio;Gols Inter;Campo
415;21/03/2018;Inter;Grêmio;2;0;;;Inter;Gauchão;Beira-Rio;0;2;Beira-Rio
416;12/05/2018;Grêmio;Inter;0;0;;;Empate;Campeonato Brasileiro;Arena;0;0;Arena
417;09/09/2018;Inter;Grêmio;1;0;;;Inter;Campeonato Brasileiro;Beira-Rio;0;1;Beira-Rio
418;17/03/2019;Grêmio;Inter;1;0;;;Grêmio;Gauchão;Arena;1;0;Arena
419;14/04/2019;Inter;Grêmio;0;0;;;Empate;Gauchão;Beira-Rio;0;0;Beira-Rio
420;17/04/2019;Grêmio;Inter;0;0;3;2;Grêmio;Gauchão;Arena;0;0;Arena
421;20/07/2019;Inter;Grêmio;1;1;;;Empate;Campeonato Brasileiro;Beira-Rio;1;1;Beira-Rio
422;03/11/2019;Grêmio;Inter;2;0;;;Grêmio;Campeonato Brasileiro;Arena;2;0;Arena
423;15/02/2020;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Beira-Rio;1;0;Beira-Rio
424;12/03/2020;Grêmio;Inter;0;0;;;Empate;Libertadores;Arena;0;0;Arena
425;22/07/2020;Inter;Grêmio;0;1;;;Grêmio;Gauchão;Centenário;1;0;Outros
426;05/08/2020;Grêmio;Inter;2;0;;;Grêmio;Gauchão;Arena;2;0;Arena
427;23/09/2020;Inter;Grêmio;0;1;;;Grêmio;Libertadores;Beira-Rio;1;0;Beira-Rio
428;03/10/2020;Grêmio;Inter;1;1;;;Empate;Campeonato Brasileiro;Arena;1;1;Arena
429;24/01/2021;Inter;Grêmio;2;1;;;Inter;Campeonato Brasileiro;Beira-Rio;1;2;Beira-Rio
430;03/04/2021;Grêmio;Inter;1;0;;;Grêmio;Gauchão;Arena;1;0;Arena
431;16/05/2021;Inter;Grêmio;1;2;;;Grêmio;Gauchão;Beira-Rio;2;1;Beira-Rio
432;23/05/2021;Grêmio;Inter;1;1;;;Empate;Gauchão;Arena;1;1;Arena
